#   time            Cubic	   Hexagonal 
   0.0000000e+00   1.9840000e+02   6.6186667e+02
   1.0000000e-01   2.7186667e+02   9.0413333e+02
   2.0000000e-01   3.5013333e+02   1.0705333e+03
   3.0000000e-01   4.0406667e+02   1.2192000e+03
   4.0000000e-01   4.3173333e+02   1.3453333e+03
   5.0000000e-01   4.7520000e+02   1.4854667e+03
   6.0000000e-01   5.1360000e+02   1.5926000e+03
   7.0000000e-01   5.5693333e+02   1.7032000e+03
   8.0000000e-01   5.6940000e+02   1.8872000e+03
   9.0000000e-01   5.9326667e+02   1.9860667e+03
   1.0000000e+00   6.1473333e+02   2.0574000e+03
   1.1000000e+00   6.4300000e+02   2.1637333e+03
   1.2000000e+00   6.4126667e+02   2.2102667e+03
   1.3000000e+00   6.7906667e+02   2.3722667e+03
   1.4000000e+00   6.7073333e+02   2.4356000e+03
   1.5000000e+00   6.9546667e+02   2.5215333e+03
   1.6000000e+00   6.9833333e+02   2.6731333e+03
   1.7000000e+00   7.3686667e+02   2.7969333e+03
   1.8000000e+00   7.4033333e+02   2.9038000e+03
   1.9000000e+00   7.6326667e+02   3.0462667e+03
   2.0000000e+00   7.8206667e+02   3.1537333e+03
   2.1000000e+00   8.0720000e+02   3.2882667e+03
   2.2000000e+00   7.9866667e+02   3.4163333e+03
   2.3000000e+00   8.0906667e+02   3.5084000e+03
   2.4000000e+00   8.0360000e+02   3.6223333e+03
   2.5000000e+00   8.3286667e+02   3.7550667e+03
   2.6000000e+00   8.4760000e+02   3.8748667e+03
   2.7000000e+00   8.4473333e+02   3.9920667e+03
   2.8000000e+00   8.5906667e+02   4.0902667e+03
   2.9000000e+00   8.6180000e+02   4.1576000e+03
   3.0000000e+00   8.8793333e+02   4.2492667e+03
   3.1000000e+00   8.8306667e+02   4.3492000e+03
   3.2000000e+00   8.8726667e+02   4.4338667e+03
   3.3000000e+00   9.0013333e+02   4.4870000e+03
   3.4000000e+00   9.0280000e+02   4.5906000e+03
   3.5000000e+00   9.0046667e+02   4.6141333e+03
   3.6000000e+00   9.1806667e+02   4.7453333e+03
   3.7000000e+00   9.3760000e+02   4.8438000e+03
