#   time            Cubic	   Hexagonal 
   1.0000000e-01   8.4000000e+01   1.7460000e+02
   2.0000000e-01   1.2293333e+02   5.8833333e+02
   3.0000000e-01   1.6893333e+02   9.6313333e+02
   4.0000000e-01   1.7646667e+02   1.1374667e+03
   5.0000000e-01   1.8380000e+02   1.2436667e+03
   6.0000000e-01   1.9660000e+02   1.3365333e+03
   7.0000000e-01   2.0486667e+02   1.4517333e+03
   8.0000000e-01   2.0820000e+02   1.5156667e+03
   9.0000000e-01   2.3160000e+02   1.5542000e+03
   1.0000000e+00   2.4633333e+02   1.6005333e+03
   1.1000000e+00   2.5346667e+02   1.6840000e+03
   1.2000000e+00   2.5906667e+02   1.7608000e+03
   1.3000000e+00   2.6393333e+02   1.7560667e+03
   1.4000000e+00   2.8066667e+02   1.8114667e+03
   1.5000000e+00   3.0193333e+02   1.7979333e+03
   1.6000000e+00   2.9380000e+02   1.8782667e+03
   1.7000000e+00   2.9726667e+02   1.9110000e+03
   1.8000000e+00   2.8600000e+02   1.9248667e+03
   1.9000000e+00   3.3080000e+02   1.9883333e+03
   2.0000000e+00   2.9886667e+02   1.8848000e+03
   2.1000000e+00   2.9166667e+02   1.8822667e+03
   2.2000000e+00   3.0973333e+02   1.9319333e+03
   2.3000000e+00   3.0426667e+02   1.8596667e+03
   2.4000000e+00   2.8980000e+02   1.8893333e+03
   2.5000000e+00   3.0093333e+02   1.9264000e+03
   2.6000000e+00   3.2193333e+02   1.9740000e+03
   2.7000000e+00   3.3133333e+02   1.9438000e+03
   2.8000000e+00   3.0893333e+02   1.8894000e+03
   2.9000000e+00   3.2360000e+02   1.8578667e+03
   3.0000000e+00   3.5280000e+02   1.8419333e+03
   3.1000000e+00   3.3706667e+02   1.8912667e+03
   3.2000000e+00   3.1666667e+02   1.9492667e+03
   3.3000000e+00   3.4566667e+02   1.9443333e+03
   3.4000000e+00   3.4953333e+02   1.9403333e+03
   3.5000000e+00   3.3720000e+02   1.9159333e+03
   3.6000000e+00   3.2913333e+02   1.8948667e+03
   3.7000000e+00   3.3520000e+02   1.9555333e+03
   3.8000000e+00   3.3380000e+02   1.9229333e+03
   3.9000000e+00   3.5780000e+02   1.9162667e+03
   4.0000000e+00   3.4753333e+02   1.9593333e+03
   4.1000000e+00   3.5120000e+02   1.9751333e+03
   4.2000000e+00   3.4866667e+02   1.9526000e+03
   4.3000000e+00   3.5166667e+02   1.8844667e+03
   4.4000000e+00   3.5973333e+02   1.8722667e+03
   4.5000000e+00   3.5066667e+02   1.8748667e+03
   4.6000000e+00   3.7193333e+02   1.9762000e+03
   4.7000000e+00   3.7506667e+02   1.9090667e+03
   4.8000000e+00   3.8186667e+02   1.8946000e+03
   4.9000000e+00   4.0786667e+02   1.8836667e+03
   5.0000000e+00   3.9633333e+02   1.8180000e+03
   5.1000000e+00   4.0426667e+02   1.8454667e+03
   5.2000000e+00   3.8226667e+02   1.8929333e+03
   5.3000000e+00   3.6766667e+02   1.8870667e+03
   5.4000000e+00   3.8900000e+02   1.8984667e+03
   5.5000000e+00   4.0406667e+02   1.8952000e+03
   5.6000000e+00   4.1426667e+02   1.8696000e+03
   5.7000000e+00   4.1066667e+02   1.8825333e+03
   5.8000000e+00   4.0260000e+02   1.8968667e+03
   5.9000000e+00   4.5160000e+02   1.9145333e+03
   6.0000000e+00   4.4200000e+02   1.9010000e+03
   6.1000000e+00   4.1866667e+02   1.8907333e+03
   6.2000000e+00   4.3633333e+02   1.8618667e+03
   6.3000000e+00   4.2620000e+02   1.8497333e+03
   6.4000000e+00   4.4320000e+02   1.9071333e+03
   6.5000000e+00   4.1193333e+02   1.8872667e+03
   6.6000000e+00   4.3840000e+02   1.9630667e+03
   6.7000000e+00   4.0800000e+02   1.9658000e+03
   6.8000000e+00   4.3066667e+02   1.9532000e+03
   6.9000000e+00   4.4120000e+02   1.9829333e+03
   7.0000000e+00   4.3320000e+02   1.9549333e+03
   7.1000000e+00   4.1273333e+02   1.9390000e+03
   7.2000000e+00   4.0720000e+02   1.9656000e+03
   7.3000000e+00   4.1433333e+02   1.9679333e+03
   7.4000000e+00   4.3866667e+02   1.9430667e+03
   7.5000000e+00   4.1780000e+02   1.9828667e+03
   7.6000000e+00   4.0300000e+02   1.9708667e+03
   7.7000000e+00   3.9733333e+02   1.9638667e+03
   7.8000000e+00   3.8373333e+02   1.9175333e+03
   7.9000000e+00   3.9213333e+02   1.8852667e+03
   8.0000000e+00   4.0273333e+02   1.9130000e+03
   8.1000000e+00   4.2033333e+02   1.9352667e+03
   8.2000000e+00   4.2613333e+02   1.8704000e+03
   8.3000000e+00   4.3766667e+02   1.8878667e+03
   8.4000000e+00   4.3053333e+02   1.8988667e+03
   8.5000000e+00   4.5120000e+02   1.9786667e+03
   8.6000000e+00   4.4773333e+02   1.9261333e+03
