#   time            Cubic	   Hexagonal 
   1.0000000e-01   7.5593333e+02   1.0338000e+03
   2.0000000e-01   8.0953333e+02   1.2814000e+03
   3.0000000e-01   8.5300000e+02   1.3519333e+03
   4.0000000e-01   8.7133333e+02   1.4759333e+03
   5.0000000e-01   8.8820000e+02   1.5688667e+03
   6.0000000e-01   8.7393333e+02   1.6191333e+03
   7.0000000e-01   8.3886667e+02   1.6904667e+03
   8.0000000e-01   8.7873333e+02   1.7605333e+03
   9.0000000e-01   9.2386667e+02   1.8559333e+03
   1.0000000e+00   9.9366667e+02   1.9596000e+03
   1.1000000e+00   1.0590000e+03   1.9843333e+03
   1.2000000e+00   1.1888000e+03   1.9838000e+03
   1.3000000e+00   1.3453333e+03   2.0915333e+03
   1.4000000e+00   1.4800667e+03   2.2266667e+03
   1.5000000e+00   1.6109333e+03   2.3139333e+03
   1.6000000e+00   1.7192000e+03   2.4280667e+03
   1.7000000e+00   1.9026667e+03   2.4814000e+03
   1.8000000e+00   2.0659333e+03   2.5122000e+03
   1.9000000e+00   2.2487333e+03   2.5317333e+03
   2.0000000e+00   2.5022000e+03   2.6165333e+03
   2.1000000e+00   2.6741333e+03   2.6450000e+03
   2.2000000e+00   2.8145333e+03   2.6648000e+03
   2.3000000e+00   2.9814667e+03   2.6786000e+03
   2.4000000e+00   3.1256000e+03   2.6990667e+03
   2.5000000e+00   3.3028667e+03   2.6528667e+03
   2.6000000e+00   3.3649333e+03   2.6268667e+03
   2.7000000e+00   3.3685333e+03   2.6097333e+03
   2.8000000e+00   3.4088667e+03   2.6030667e+03
   2.9000000e+00   3.4844667e+03   2.6614667e+03
   3.0000000e+00   3.6188667e+03   2.6204000e+03
   3.1000000e+00   3.6320000e+03   2.6096667e+03
   3.2000000e+00   3.7036000e+03   2.5708000e+03
   3.3000000e+00   3.7710667e+03   2.5771333e+03
   3.4000000e+00   3.7506667e+03   2.5874667e+03
   3.5000000e+00   3.7702667e+03   2.6454000e+03
   3.6000000e+00   3.8570000e+03   2.6669333e+03
   3.7000000e+00   3.8457333e+03   2.6489333e+03
   3.8000000e+00   3.9216000e+03   2.6183333e+03
   3.9000000e+00   4.0171333e+03   2.6817333e+03
   4.0000000e+00   4.0262667e+03   2.6708000e+03
   4.1000000e+00   4.1256667e+03   2.6526000e+03
   4.2000000e+00   4.1607333e+03   2.7186667e+03
   4.3000000e+00   4.1647333e+03   2.6625333e+03
   4.4000000e+00   4.2596000e+03   2.7345333e+03
   4.5000000e+00   4.2989333e+03   2.7271333e+03
   4.6000000e+00   4.3604000e+03   2.7787333e+03
   4.7000000e+00   4.3913333e+03   2.8290000e+03
   4.8000000e+00   4.5520667e+03   2.8424667e+03
   4.9000000e+00   4.6496000e+03   2.8767333e+03
   5.0000000e+00   4.6862667e+03   2.8877333e+03
   5.1000000e+00   4.7514667e+03   2.9065333e+03
   5.2000000e+00   4.7493333e+03   2.9180667e+03
   5.3000000e+00   4.8227333e+03   2.9182000e+03
   5.4000000e+00   4.8852667e+03   2.9088667e+03
   5.5000000e+00   4.9565333e+03   2.9445333e+03
   5.6000000e+00   4.9890667e+03   2.9662667e+03
   5.7000000e+00   5.0110667e+03   2.9746000e+03
   5.8000000e+00   5.1005333e+03   2.9426000e+03
   5.9000000e+00   5.1891333e+03   2.9920000e+03
   6.0000000e+00   5.2915333e+03   2.9630000e+03
   6.1000000e+00   5.3244667e+03   2.9698000e+03
   6.2000000e+00   5.3238000e+03   3.0034000e+03
   6.3000000e+00   5.3726000e+03   2.9786000e+03
   6.4000000e+00   5.4011333e+03   3.0090667e+03
   6.5000000e+00   5.4314000e+03   3.0700000e+03
   6.6000000e+00   5.5490667e+03   3.1114667e+03
   6.7000000e+00   5.5596000e+03   3.1560000e+03
   6.8000000e+00   5.6390667e+03   3.2285333e+03
   6.9000000e+00   5.7436000e+03   3.2936000e+03
   7.0000000e+00   5.8834000e+03   3.3267333e+03
   7.1000000e+00   5.9288667e+03   3.3864667e+03
