#   time            Cubic	   Hexagonal 
   1.0000000e+01   1.2483267e+04   2.0760000e+03
   1.0100000e+01   1.2443933e+04   2.0970667e+03
   1.0200000e+01   1.2453867e+04   2.0952000e+03
   1.0300000e+01   1.2413000e+04   2.0920000e+03
   1.0400000e+01   1.2465200e+04   2.1048667e+03
   1.0500000e+01   1.2507467e+04   2.0786000e+03
   1.0600000e+01   1.2471000e+04   2.0749333e+03
   1.0700000e+01   1.2473867e+04   2.0829333e+03
   1.0800000e+01   1.2493133e+04   2.0822667e+03
   1.0900000e+01   1.2495533e+04   2.0783333e+03
   1.1000000e+01   1.2472667e+04   2.0814667e+03
   1.1100000e+01   1.2425133e+04   2.0922667e+03
   1.1200000e+01   1.2445533e+04   2.0942000e+03
   1.1300000e+01   1.2440800e+04   2.0885333e+03
   1.1400000e+01   1.2493467e+04   2.0753333e+03
   1.1500000e+01   1.2484933e+04   2.0915333e+03
   1.1600000e+01   1.2488400e+04   2.0856667e+03
   1.1700000e+01   1.2480533e+04   2.1080000e+03
   1.1800000e+01   1.2495200e+04   2.1209333e+03
   1.1900000e+01   1.2536067e+04   2.0732000e+03
   1.2000000e+01   1.2496800e+04   2.0772000e+03
   1.2100000e+01   1.2510933e+04   2.1059333e+03
   1.2200000e+01   1.2511067e+04   2.0776667e+03
   1.2300000e+01   1.2516533e+04   2.1059333e+03
   1.2400000e+01   1.2484067e+04   2.0931333e+03
   1.2500000e+01   1.2442600e+04   2.0716000e+03
   1.2600000e+01   1.2403400e+04   2.0926667e+03
   1.2700000e+01   1.2442867e+04   2.0843333e+03
   1.2800000e+01   1.2488200e+04   2.0689333e+03
   1.2900000e+01   1.2523667e+04   2.0769333e+03
   1.3000000e+01   1.2498067e+04   2.0724000e+03
   1.3100000e+01   1.2488467e+04   2.0834667e+03
   1.3200000e+01   1.2522133e+04   2.0883333e+03
   1.3300000e+01   1.2473067e+04   2.0904000e+03
   1.3400000e+01   1.2474667e+04   2.0967333e+03
   1.3500000e+01   1.2478533e+04   2.0981333e+03
   1.3600000e+01   1.2492467e+04   2.1026000e+03
   1.3700000e+01   1.2479867e+04   2.0842000e+03
   1.3800000e+01   1.2457067e+04   2.1165333e+03
   1.3900000e+01   1.2506600e+04   2.1004667e+03
   1.4000000e+01   1.2468000e+04   2.0884000e+03
   1.4100000e+01   1.2487000e+04   2.1073333e+03
   1.4200000e+01   1.2490133e+04   2.1003333e+03
   1.4300000e+01   1.2451733e+04   2.0890667e+03
   1.4400000e+01   1.2511400e+04   2.0853333e+03
   1.4500000e+01   1.2530467e+04   2.1012000e+03
   1.4600000e+01   1.2555267e+04   2.0853333e+03
   1.4700000e+01   1.2504000e+04   2.0781333e+03
   1.4800000e+01   1.2497067e+04   2.0628000e+03
   1.4900000e+01   1.2500933e+04   2.0662000e+03
   1.5000000e+01   1.2517600e+04   2.0794000e+03
