#   time            Cubic	   Hexagonal 
   1.0000000e-01   2.9571429e+02   5.8328571e+02
   2.0000000e-01   3.5878571e+02   7.7521429e+02
   3.0000000e-01   3.9450000e+02   9.3535714e+02
   4.0000000e-01   4.3592857e+02   9.8700000e+02
   5.0000000e-01   4.9585714e+02   1.0683571e+03
   6.0000000e-01   5.3028571e+02   1.0344286e+03
   7.0000000e-01   5.4964286e+02   1.0985000e+03
   8.0000000e-01   6.0207143e+02   1.1519286e+03
   9.0000000e-01   6.3285714e+02   1.1667857e+03
   1.0000000e+00   6.4971429e+02   1.2260714e+03
   1.1000000e+00   6.8285714e+02   1.2493571e+03
   1.2000000e+00   7.4885714e+02   1.2462857e+03
   1.3000000e+00   7.6735714e+02   1.2465714e+03
   1.4000000e+00   7.8892857e+02   1.2639286e+03
   1.5000000e+00   8.1600000e+02   1.3070714e+03
   1.6000000e+00   8.1778571e+02   1.3413571e+03
   1.7000000e+00   8.6721429e+02   1.3648571e+03
   1.8000000e+00   9.2557143e+02   1.3485714e+03
   1.9000000e+00   9.6300000e+02   1.4010714e+03
   2.0000000e+00   9.7157143e+02   1.4003571e+03
   2.1000000e+00   9.9821429e+02   1.4229286e+03
   2.2000000e+00   1.0481429e+03   1.4723571e+03
   2.3000000e+00   1.0794286e+03   1.4712143e+03
   2.4000000e+00   1.1128571e+03   1.5195714e+03
   2.5000000e+00   1.1497857e+03   1.5296429e+03
   2.6000000e+00   1.1915714e+03   1.5473571e+03
   2.7000000e+00   1.2432143e+03   1.5882143e+03
   2.8000000e+00   1.2682143e+03   1.6060000e+03
   2.9000000e+00   1.2675000e+03   1.6466429e+03
   3.0000000e+00   1.3150714e+03   1.6190000e+03
   3.1000000e+00   1.3694286e+03   1.6385714e+03
   3.2000000e+00   1.3869286e+03   1.6182857e+03
   3.3000000e+00   1.4427143e+03   1.6037143e+03
   3.4000000e+00   1.4452143e+03   1.6267857e+03
   3.5000000e+00   1.4900714e+03   1.6387857e+03
   3.6000000e+00   1.5620000e+03   1.6607143e+03
   3.7000000e+00   1.5986429e+03   1.6600000e+03
   3.8000000e+00   1.6388571e+03   1.6561429e+03
   3.9000000e+00   1.6627857e+03   1.6983571e+03
   4.0000000e+00   1.7482857e+03   1.7120714e+03
   4.1000000e+00   1.7614286e+03   1.7122143e+03
   4.2000000e+00   1.7844286e+03   1.7185714e+03
   4.3000000e+00   1.8147143e+03   1.7336429e+03
   4.4000000e+00   1.8597143e+03   1.7617857e+03
   4.5000000e+00   1.8954286e+03   1.7605714e+03
   4.6000000e+00   1.8937143e+03   1.7654286e+03
   4.7000000e+00   1.9519286e+03   1.7837857e+03
   4.8000000e+00   1.9940714e+03   1.7357857e+03
   4.9000000e+00   2.0227143e+03   1.7841429e+03
   5.0000000e+00   2.0732143e+03   1.7775714e+03
   5.1000000e+00   2.0797857e+03   1.7702143e+03
   5.2000000e+00   2.1120000e+03   1.8292857e+03
   5.3000000e+00   2.2033571e+03   1.8706429e+03
   5.4000000e+00   2.2333571e+03   1.8557857e+03
   5.5000000e+00   2.2535000e+03   1.8489286e+03
   5.6000000e+00   2.3032143e+03   1.8607143e+03
   5.7000000e+00   2.3707143e+03   1.8879286e+03
   5.8000000e+00   2.3835714e+03   1.8819286e+03
   5.9000000e+00   2.3751429e+03   1.8712857e+03
   6.0000000e+00   2.4105000e+03   1.8615000e+03
   6.1000000e+00   2.4418571e+03   1.8617143e+03
   6.2000000e+00   2.5040000e+03   1.8825714e+03
   6.3000000e+00   2.5641429e+03   1.8580714e+03
   6.4000000e+00   2.5819286e+03   1.9115000e+03
   6.5000000e+00   2.6259286e+03   1.8910000e+03
   6.6000000e+00   2.6376429e+03   1.8757143e+03
   6.7000000e+00   2.6650714e+03   1.8839286e+03
   6.8000000e+00   2.6985000e+03   1.9028571e+03
   6.9000000e+00   2.7293571e+03   1.9029286e+03
   7.0000000e+00   2.7564286e+03   1.8684286e+03
   7.1000000e+00   2.7702143e+03   1.8822143e+03
   7.2000000e+00   2.8040000e+03   1.8897143e+03
   7.3000000e+00   2.8102857e+03   1.8987143e+03
   7.4000000e+00   2.8031429e+03   1.9190714e+03
   7.5000000e+00   2.8315714e+03   1.9475714e+03
   7.6000000e+00   2.9078571e+03   1.9363571e+03
   7.7000000e+00   2.8373571e+03   1.9067857e+03
   7.8000000e+00   2.8765000e+03   1.9117857e+03
   7.9000000e+00   2.9035000e+03   1.9621429e+03
   8.0000000e+00   2.9201429e+03   1.9276429e+03
   8.1000000e+00   2.9472143e+03   1.9566429e+03
   8.2000000e+00   2.9245000e+03   1.9540000e+03
   8.3000000e+00   2.9388571e+03   1.9409286e+03
   8.4000000e+00   2.9510000e+03   1.9660000e+03
   8.5000000e+00   2.9631429e+03   1.9597857e+03
   8.6000000e+00   3.0162857e+03   1.9917857e+03
   8.7000000e+00   3.0129286e+03   2.0027143e+03
   8.8000000e+00   3.0281429e+03   2.0037857e+03
   8.9000000e+00   3.0468571e+03   2.0160000e+03
   9.0000000e+00   3.0850000e+03   2.0101429e+03
   9.1000000e+00   3.1152857e+03   2.0180000e+03
   9.2000000e+00   3.1522857e+03   2.0375000e+03
   9.3000000e+00   3.1772857e+03   2.0443571e+03
   9.4000000e+00   3.1890714e+03   2.0550714e+03
   9.5000000e+00   3.2302857e+03   2.0247857e+03
   9.6000000e+00   3.2306429e+03   2.0422143e+03
   9.7000000e+00   3.2651429e+03   2.0667143e+03
   9.8000000e+00   3.2860714e+03   2.0883571e+03
   9.9000000e+00   3.2807857e+03   2.0793571e+03
   1.0000000e+01   3.2506429e+03   2.0896429e+03
   1.0100000e+01   3.2785714e+03   2.1077857e+03
   1.0200000e+01   3.2502143e+03   2.0863571e+03
   1.0300000e+01   3.2792857e+03   2.0808571e+03
   1.0400000e+01   3.3174286e+03   2.1150000e+03
   1.0500000e+01   3.3326429e+03   2.0987857e+03
   1.0600000e+01   3.3671429e+03   2.0873571e+03
   1.0700000e+01   3.4326429e+03   2.1257857e+03
   1.0800000e+01   3.4177143e+03   2.1335000e+03
   1.0900000e+01   3.4117143e+03   2.1264286e+03
   1.1000000e+01   3.4759286e+03   2.1296429e+03
   1.1100000e+01   3.5042143e+03   2.1602143e+03
   1.1200000e+01   3.5180714e+03   2.1645000e+03
   1.1300000e+01   3.5581429e+03   2.1736429e+03
   1.1400000e+01   3.5610714e+03   2.1895000e+03
   1.1500000e+01   3.6165000e+03   2.1972857e+03
   1.1600000e+01   3.5953571e+03   2.2190000e+03
   1.1700000e+01   3.6292857e+03   2.2066429e+03
   1.1800000e+01   3.6684286e+03   2.2463571e+03
   1.1900000e+01   3.6834286e+03   2.2520000e+03
   1.2000000e+01   3.7007143e+03   2.2837857e+03
   1.2100000e+01   3.7585714e+03   2.2946429e+03
   1.2200000e+01   3.7637143e+03   2.3032857e+03
   1.2300000e+01   3.7720714e+03   2.3000000e+03
   1.2400000e+01   3.7827143e+03   2.3012857e+03
   1.2500000e+01   3.7824286e+03   2.3380000e+03
   1.2600000e+01   3.8092857e+03   2.3476429e+03
   1.2700000e+01   3.7757143e+03   2.3193571e+03
   1.2800000e+01   3.8630714e+03   2.3564286e+03
   1.2900000e+01   3.9200714e+03   2.3776429e+03
   1.3000000e+01   3.9145000e+03   2.3684286e+03
   1.3100000e+01   3.9489286e+03   2.3780000e+03
   1.3200000e+01   3.9225000e+03   2.3730000e+03
   1.3300000e+01   3.9493571e+03   2.3666429e+03
   1.3400000e+01   3.9986429e+03   2.3892857e+03
   1.3500000e+01   3.9883571e+03   2.3696429e+03
   1.3600000e+01   3.9984286e+03   2.4030714e+03
   1.3700000e+01   4.0483571e+03   2.3939286e+03
   1.3800000e+01   4.0900714e+03   2.4168571e+03
   1.3900000e+01   4.1021429e+03   2.4090714e+03
   1.4000000e+01   4.1200000e+03   2.4232857e+03
   1.4100000e+01   4.1195000e+03   2.4475000e+03
   1.4200000e+01   4.1470000e+03   2.4325714e+03
   1.4300000e+01   4.1243571e+03   2.4217857e+03
   1.4400000e+01   4.1282857e+03   2.4026429e+03
   1.4500000e+01   4.1152857e+03   2.4289286e+03
   1.4600000e+01   4.1142143e+03   2.4292143e+03
   1.4700000e+01   4.1148571e+03   2.4124286e+03
   1.4800000e+01   4.1484286e+03   2.4178571e+03
   1.4900000e+01   4.1632143e+03   2.4363571e+03
   1.5000000e+01   4.1810000e+03   2.4325000e+03
   1.5100000e+01   4.2168571e+03   2.4383571e+03
   1.5200000e+01   4.2367857e+03   2.4304286e+03
   1.5300000e+01   4.2628571e+03   2.4486429e+03
   1.5400000e+01   4.2622857e+03   2.4495714e+03
   1.5500000e+01   4.2072143e+03   2.4310000e+03
   1.5600000e+01   4.2059286e+03   2.4434286e+03
   1.5700000e+01   4.1894286e+03   2.4355714e+03
   1.5800000e+01   4.1735000e+03   2.4090000e+03
   1.5900000e+01   4.1677143e+03   2.4214286e+03
   1.6000000e+01   4.1705000e+03   2.3921429e+03
   1.6100000e+01   4.1827143e+03   2.3985000e+03
   1.6200000e+01   4.2138571e+03   2.4050000e+03
   1.6300000e+01   4.1885714e+03   2.4021429e+03
   1.6400000e+01   4.2007857e+03   2.4004286e+03
   1.6500000e+01   4.2032143e+03   2.3960714e+03
   1.6600000e+01   4.1980714e+03   2.3986429e+03
   1.6700000e+01   4.1887143e+03   2.3682143e+03
   1.6800000e+01   4.2240000e+03   2.4014286e+03
   1.6900000e+01   4.2297143e+03   2.4100714e+03
   1.7000000e+01   4.2111429e+03   2.4170000e+03
   1.7100000e+01   4.2497857e+03   2.4078571e+03
   1.7200000e+01   4.2415714e+03   2.4195714e+03
   1.7300000e+01   4.2369286e+03   2.4205000e+03
   1.7400000e+01   4.2967143e+03   2.4150714e+03
   1.7500000e+01   4.2942857e+03   2.4393571e+03
   1.7600000e+01   4.2962857e+03   2.4079286e+03
   1.7700000e+01   4.3252857e+03   2.3982857e+03
   1.7800000e+01   4.3308571e+03   2.4282857e+03
   1.7900000e+01   4.3643571e+03   2.4330714e+03
   1.8000000e+01   4.3602857e+03   2.4250000e+03
   1.8100000e+01   4.4061429e+03   2.4294286e+03
   1.8200000e+01   4.4066429e+03   2.4376429e+03
   1.8300000e+01   4.3929286e+03   2.3995714e+03
   1.8400000e+01   4.3848571e+03   2.4097143e+03
   1.8500000e+01   4.3793571e+03   2.4307143e+03
   1.8600000e+01   4.4249286e+03   2.4287143e+03
   1.8700000e+01   4.4187143e+03   2.4227857e+03
   1.8800000e+01   4.4720714e+03   2.4337143e+03
   1.8900000e+01   4.5189286e+03   2.4619286e+03
   1.9000000e+01   4.5065714e+03   2.4822857e+03
   1.9100000e+01   4.5111429e+03   2.4515000e+03
   1.9200000e+01   4.5153571e+03   2.4740000e+03
   1.9300000e+01   4.5070000e+03   2.4612857e+03
   1.9400000e+01   4.5235714e+03   2.4649286e+03
   1.9500000e+01   4.5037143e+03   2.4697143e+03
   1.9600000e+01   4.5690000e+03   2.4604286e+03
   1.9700000e+01   4.5972857e+03   2.4904286e+03
   1.9800000e+01   4.5914286e+03   2.4724286e+03
   1.9900000e+01   4.5905714e+03   2.4697143e+03
   2.0000000e+01   4.5965714e+03   2.4620714e+03
